id	name	gender	age	degree	stream	college_name	placement_status	salary	gpa	years_of_experience
1	John Doe	Male	25	Bachelor's	Computer Science	Harvard University	Placed	60000	3.7	2.0
2	Jane Smith	Female	24	Bachelor's	Electrical Engineering	Massachusetts Institute of Technology	Placed	65000	3.6	1.0
3	Michael Johnson	Male	26	Bachelor's	Mechanical Engineering	Stanford University	Placed	58000	3.8	3.0
4	Emily Davis	Female	23	Bachelor's	Information Technology	Yale University	Not Placed	0	3.5	2.0
5	David Brown	Male	24	Bachelor's	Computer Science	Princeton University	Placed	62000	3.9	2.0
6	Sarah Wilson	Female	25	Bachelor's	Electronics and Communication	Columbia University	Placed	63000	3.7	1.0
7	James Martinez	Male	26	Bachelor's	Information Technology	California Institute of Technology	Placed	59000	3.8	3.0
8	Emma Garcia	Female	24	Bachelor's	Computer Science	University of Chicago	Not Placed	0	3.6	2.0
9	Alexander Taylor	Male	25	Bachelor's	Electrical Engineering	University of Pennsylvania	Placed	64000	3.7	2.0
10	Samantha Anderson	Female	23	Bachelor's	Mechanical Engineering	Northwestern University	Placed	57000	3.5	1.0
11	William Hernandez	Male	24	Bachelor's	Computer Science	Duke University	Placed	61000	3.9	2.0
12	Ava Lopez	Female	25	Bachelor's	Electronics and Communication	Johns Hopkins University	Not Placed	0	3.8	3.0
13	Daniel Martinez	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	63000	3.7	2.0
14	Mia Gonzalez	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.6	1.0
15	Alexander Rodriguez	Male	23	Bachelor's	Electrical Engineering	University of California--Los Angeles	Placed	66000	3.8	3.0
16	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Virginia	Not Placed	0	3.7	2.0
17	Ethan Turner	Male	26	Bachelor's	Computer Science	University of Wisconsin--Madison	Placed	61000	3.9	2.0
18	Olivia Moore	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	62000	3.8	1.0
19	Mason Parker	Male	23	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Placed	59000	3.7	2.0
20	Amelia Rivera	Female	25	Bachelor's	Computer Science	University of Washington	Placed	65000	3.6	1.0
21	Lucas Reed	Male	24	Bachelor's	Electrical Engineering	University of California--San Diego	Placed	67000	3.5	3.0
22	Elizabeth Wood	Female	26	Bachelor's	Mechanical Engineering	University of Texas--Austin	Not Placed	0	3.8	3.0
23	Aiden Ward	Male	23	Bachelor's	Computer Science	University of California--Santa Barbara	Placed	60000	3.7	2.0
24	Charlotte Ross	Female	25	Bachelor's	Electronics and Communication	University of Southern California	Placed	63000	3.6	1.0
25	Owen Brooks	Male	26	Bachelor's	Information Technology	University of Florida	Placed	60000	3.9	2.0
26	Grace Watson	Female	24	Bachelor's	Computer Science	University of Minnesota--Twin Cities	Not Placed	0	3.8	3.0
27	Jack Bailey	Male	23	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	64000	3.7	2.0
28	Natalie Murphy	Female	25	Bachelor's	Mechanical Engineering	University of California--Davis	Placed	66000	3.5	1.0
29	Liam Russell	Male	24	Bachelor's	Computer Science	University of Pittsburgh	Placed	59000	3.7	2.0
30	Chloe Peterson	Female	26	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	62000	3.6	1.0
31	Elijah Kelly	Male	23	Bachelor's	Information Technology	University of Rochester	Placed	61000	3.9	2.0
32	Anna Cooper	Female	25	Bachelor's	Computer Science	Boston College	Not Placed	0	3.8	3.0
33	Lucas Reed	Male	26	Bachelor's	Electrical Engineering	Rice University	Placed	65000	3.5	3.0
34	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of California--Irvine	Placed	64000	3.6	1.0
35	Mason Parker	Male	23	Bachelor's	Information Technology	Georgetown University	Placed	67000	3.7	2.0
36	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Georgia	Not Placed	0	3.6	1.0
37	William Hernandez	Male	24	Bachelor's	Information Technology	University of Notre Dame	Placed	63000	3.7	2.0
38	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Iowa	Placed	62000	3.8	3.0
39	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
40	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
41	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
42	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
43	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
44	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
45	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
46	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
47	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
48	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
49	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
50	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
51	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
